"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2024","1,095.31","1,094.64","1,100.45","1,090.73","0.00K","0.19%"
"12/17/2024","1,093.20","1,103.28","1,104.14","1,092.86","0.00K","-0.91%"
"12/16/2024","1,103.21","1,107.10","1,110.19","1,102.40","0.00K","-0.34%"
"12/13/2024","1,107.01","1,113.23","1,113.40","1,104.54","0.00K","-0.53%"
"12/12/2024","1,112.94","1,109.59","1,118.92","1,109.38","0.00K","0.41%"
"12/11/2024","1,108.43","1,111.03","1,113.62","1,106.30","0.00K","-0.30%"
"12/10/2024","1,111.71","1,115.50","1,126.39","1,110.52","0.00K","-0.21%"
"12/09/2024","1,114.04","1,103.74","1,115.57","1,098.54","0.00K","0.81%"
"12/06/2024","1,105.08","1,102.88","1,107.63","1,099.19","0.00K","0.25%"
"12/05/2024","1,102.29","1,100.56","1,102.79","1,096.24","0.00K","0.16%"
"12/04/2024","1,100.49","1,095.49","1,100.86","1,093.47","0.00K","0.27%"
"12/03/2024","1,097.52","1,086.87","1,097.94","1,086.87","0.00K","1.02%"
"12/02/2024","1,086.39","1,078.41","1,086.81","1,077.51","0.00K","0.73%"
"11/29/2024","1,078.57","1,079.42","1,084.86","1,074.47","0.00K","-0.10%"
"11/28/2024","1,079.65","1,088.17","1,088.63","1,079.12","0.00K","-0.73%"
"11/27/2024","1,087.58","1,087.57","1,091.46","1,083.14","0.00K","0.06%"
"11/26/2024","1,086.93","1,091.88","1,092.83","1,085.96","0.00K","-0.48%"
"11/25/2024","1,092.20","1,088.38","1,096.03","1,088.38","0.00K","0.45%"
"11/22/2024","1,087.27","1,085.34","1,091.18","1,084.11","0.00K","0.16%"
"11/21/2024","1,085.49","1,093.09","1,093.71","1,084.43","0.00K","-0.76%"
"11/20/2024","1,093.85","1,095.64","1,097.04","1,092.32","0.00K","-0.10%"
"11/19/2024","1,094.94","1,090.58","1,098.66","1,090.44","0.00K","0.48%"
"11/18/2024","1,089.72","1,086.47","1,092.91","1,085.88","0.00K","0.44%"
"11/15/2024","1,085.00","1,084.54","1,089.86","1,082.92","","0.05%"
"11/14/2024","1,084.41","1,093.16","1,094.61","1,082.83","","-0.85%"
"11/13/2024","1,093.70","1,102.84","1,103.05","1,093.10","","-0.86%"
"11/12/2024","1,103.19","1,124.87","1,124.95","1,101.88","","-2.02%"
"11/11/2024","1,125.89","1,133.58","1,133.58","1,121.74","","-0.86%"
"11/08/2024","1,135.65","1,143.59","1,150.79","1,131.96","","-0.43%"
"11/07/2024","1,140.54","1,130.44","1,143.86","1,127.58","","0.77%"
"11/06/2024","1,131.87","1,140.94","1,141.92","1,126.69","","-0.64%"
"11/05/2024","1,139.11","1,129.05","1,140.49","1,123.85","","0.82%"
"11/04/2024","1,129.82","1,122.23","1,130.71","1,122.23","","0.67%"
"11/01/2024","1,122.28","1,120.73","1,125.86","1,113.92","","0.25%"
"10/31/2024","1,119.52","1,127.68","1,129.43","1,119.52","","-0.62%"
"10/30/2024","1,126.51","1,136.09","1,137.55","1,126.51","","-0.88%"
"10/29/2024","1,136.47","1,138.51","1,140.15","1,130.75","","-0.13%"
"10/28/2024","1,137.94","1,135.32","1,138.83","1,132.72","","0.27%"
"10/25/2024","1,134.88","1,136.04","1,140.09","1,133.47","","0.03%"
"10/24/2024","1,134.52","1,143.17","1,143.40","1,133.66","","-0.64%"
"10/23/2024","1,141.81","1,142.33","1,149.11","1,138.48","","-0.03%"
"10/22/2024","1,142.19","1,147.63","1,147.63","1,141.32","","-0.54%"
"10/21/2024","1,148.42","1,154.64","1,158.42","1,146.37","","-0.58%"
"10/18/2024","1,155.12","1,136.08","1,157.01","1,135.25","","1.76%"
"10/17/2024","1,135.13","1,144.19","1,151.51","1,134.64","","-0.78%"
"10/16/2024","1,144.04","1,148.06","1,150.71","1,140.43","","-0.49%"
"10/15/2024","1,149.73","1,160.08","1,162.16","1,148.33","","-0.89%"
"10/14/2024","1,160.06","1,160.12","1,164.20","1,151.16","","0.04%"
"10/11/2024","1,159.56","1,157.35","1,162.42","1,157.11","","0.22%"
"10/10/2024","1,156.96","1,147.95","1,164.21","1,147.45","","0.76%"
"10/09/2024","1,148.27","1,159.10","1,165.95","1,145.52","","-0.69%"
"10/08/2024","1,156.23","1,183.05","1,183.61","1,149.15","","-2.33%"
"10/07/2024","1,183.78","1,174.51","1,186.69","1,174.05","","0.38%"
"10/04/2024","1,179.34","1,170.66","1,180.69","1,169.59","","0.54%"
"10/03/2024","1,173.02","1,186.01","1,186.01","1,168.16","","-1.26%"
"10/02/2024","1,187.97","1,170.47","1,193.49","1,169.40","","1.31%"
"10/01/2024","1,172.59","1,169.77","1,172.59","1,168.92","","0.15%"
"09/30/2024","1,170.85","1,175.50","1,185.42","1,168.48","","-0.31%"
"09/27/2024","1,174.52","1,166.03","1,178.23","1,165.21","","0.96%"
"09/26/2024","1,163.38","1,136.04","1,166.66","1,136.04","","2.34%"
"09/25/2024","1,136.80","1,134.83","1,146.05","1,134.59","","0.42%"
"09/24/2024","1,132.04","1,110.68","1,134.23","1,109.73","","1.92%"
"09/23/2024","1,110.66","1,106.03","1,111.03","1,106.03","","0.38%"
"09/20/2024","1,106.44","1,100.95","1,109.04","1,100.95","","0.57%"
"09/19/2024","1,100.15","1,088.50","1,100.60","1,083.32","","1.14%"
"09/18/2024","1,087.75","1,090.61","1,091.24","1,087.32","","-0.25%"
"09/17/2024","1,090.51","1,086.94","1,091.55","1,085.91","","0.41%"
"09/16/2024","1,086.02","1,083.98","1,087.40","1,081.13","","0.34%"
"09/13/2024","1,082.30","1,077.01","1,083.58","1,076.83","","0.62%"
"09/12/2024","1,075.62","1,059.77","1,077.37","1,059.77","","1.60%"
"09/11/2024","1,058.69","1,062.36","1,062.58","1,056.67","","-0.39%"
"09/10/2024","1,062.88","1,063.10","1,065.27","1,061.75","","-0.05%"
"09/09/2024","1,063.44","1,071.40","1,071.40","1,059.96","","-1.07%"
"09/06/2024","1,074.89","1,077.49","1,081.01","1,072.49","","-0.11%"
"09/05/2024","1,076.09","1,074.94","1,080.78","1,073.29","","0.23%"
"09/04/2024","1,073.59","1,089.53","1,089.53","1,070.92","","-1.52%"
"09/03/2024","1,090.17","1,096.25","1,096.84","1,089.87","","-0.56%"
"09/02/2024","1,096.34","1,099.99","1,101.37","1,095.33","","-0.33%"
"08/30/2024","1,099.92","1,095.76","1,103.53","1,095.53","","0.45%"
"08/29/2024","1,094.96","1,095.29","1,096.33","1,089.26","","-0.21%"
"08/28/2024","1,097.22","1,100.27","1,100.42","1,094.89","","-0.23%"
"08/27/2024","1,099.77","1,103.94","1,103.94","1,098.35","","-0.41%"
"08/26/2024","1,104.28","1,104.57","1,109.11","1,103.09","","0.33%"
"08/23/2024","1,100.68","1,098.66","1,104.47","1,094.44","","-0.03%"
"08/22/2024","1,100.98","1,101.15","1,103.53","1,098.21","","0.01%"
"08/21/2024","1,100.89","1,104.48","1,105.12","1,098.03","","-0.32%"
"08/20/2024","1,104.45","1,105.98","1,108.95","1,104.45","","0.08%"
"08/19/2024","1,103.53","1,096.12","1,105.41","1,095.17","","0.90%"
"08/16/2024","1,093.65","1,075.36","1,095.92","1,075.36","","1.64%"
"08/15/2024","1,076.00","1,076.29","1,077.66","1,071.31","","-0.05%"
"08/14/2024","1,076.57","1,074.15","1,078.64","1,074.15","","0.52%"
"08/13/2024","1,071.01","1,069.11","1,073.38","1,067.80","","0.18%"
"08/12/2024","1,069.11","1,064.17","1,070.35","1,064.17","","0.53%"
"08/09/2024","1,063.43","1,048.71","1,066.15","1,048.71","","1.64%"
"08/08/2024","1,046.31","1,049.02","1,050.75","1,039.93","","-0.38%"
"08/07/2024","1,050.30","1,030.02","1,051.75","1,029.81","","1.89%"
"08/06/2024","1,030.86","1,020.18","1,037.95","1,019.59","0.00K","1.41%"
"08/05/2024","1,016.48","1,060.35","1,060.35","1,014.19","0.00K","-4.22%"
"08/02/2024","1,061.23","1,085.16","1,085.16","1,061.23","","-2.44%"
"08/01/2024","1,087.80","1,087.89","1,092.52","1,085.69","","0.28%"
"07/31/2024","1,084.77","1,072.72","1,087.63","1,071.01","","1.23%"
"07/30/2024","1,071.60","1,077.14","1,077.14","1,068.73","","-0.53%"
"07/29/2024","1,077.27","1,073.74","1,082.04","1,073.54","","0.47%"
"07/26/2024","1,072.28","1,075.08","1,075.78","1,064.09","","-0.16%"
"07/25/2024","1,073.98","1,080.94","1,080.94","1,072.99","","-0.78%"
"07/24/2024","1,082.44","1,086.25","1,088.17","1,082.44","","-0.42%"
"07/23/2024","1,086.96","1,086.01","1,092.93","1,084.19","","0.14%"
"07/22/2024","1,085.48","1,088.28","1,088.28","1,078.67","","-0.38%"
"07/19/2024","1,089.61","1,103.66","1,103.66","1,087.63","","-1.48%"
"07/18/2024","1,105.95","1,111.84","1,111.84","1,101.21","","-0.50%"
"07/17/2024","1,111.46","1,118.00","1,118.35","1,111.40","","-0.53%"
"07/16/2024","1,117.38","1,120.13","1,120.81","1,115.68","","-0.26%"
"07/15/2024","1,120.27","1,125.20","1,125.54","1,119.26","","-0.29%"
"07/12/2024","1,123.56","1,126.32","1,126.32","1,116.13","","-0.12%"
"07/11/2024","1,124.86","1,111.99","1,127.23","1,111.99","","1.23%"
"07/10/2024","1,111.22","1,111.78","1,113.74","1,108.63","","-0.04%"
"07/09/2024","1,111.70","1,107.75","1,111.85","1,102.32","","0.40%"
"07/08/2024","1,107.30","1,106.16","1,111.18","1,105.30","","0.22%"
"07/05/2024","1,104.88","1,103.88","1,107.12","1,103.34","","0.06%"
"07/04/2024","1,104.18","1,093.27","1,104.57","1,093.27","","1.08%"
"07/03/2024","1,092.37","1,080.51","1,094.76","1,080.34","","1.17%"
"07/02/2024","1,079.78","1,086.13","1,087.55","1,079.06","","-0.70%"
"07/01/2024","1,087.38","1,085.06","1,088.37","1,084.64","","0.10%"
"06/28/2024","1,086.25","1,082.20","1,087.46","1,079.23","","0.40%"
"06/27/2024","1,081.87","1,084.17","1,084.29","1,079.30","","-0.40%"
"06/26/2024","1,086.20","1,084.33","1,088.21","1,083.73","","0.08%"
